UserID,Age,Gender,Budget,Duration,Interests,TravelStyle,PreferredClimate,DestinationID,PlaceName,State,Type,BestTimeToVisit,Popularity,Rating,Review,RecommendedDestinations,ItineraryPlan
U001,58,Male,10000,7,"Relaxation, Mountains",Family,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Low,4.4,Best trip ever,"Manali, Gangtok","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U002,45,Male,10000,3,"Relaxation, Mountains",Solo,Moderate,D02,Goa,Goa,Mountain,Summer,Low,4.1,Best trip ever,"Jaipur, Goa","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U003,46,Other,20000,3,"Relaxation, Wildlife",Couple,Hot,D02,Goa,Goa,Mountain,Summer,High,4.9,Loved every bit of it,"Manali, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U004,42,Male,20000,7,"Beach, Cultural",Solo,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,Low,2.8,Not worth the money,"Manali, Gangtok","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U005,36,Other,30000,7,"Beach, Relaxation",Solo,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,High,4.4,Amazing experience!,"Goa, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U006,42,Female,25000,7,"Relaxation, Cultural",Couple,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,4.3,Mediocre facilities,"Ooty, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U007,56,Other,15000,5,"Relaxation, Wildlife",Friends,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,3.9,Mediocre facilities,"Munnar, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U008,32,Male,20000,10,"Cultural, Adventure",Family,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,3.0,Not worth the money,"Jaipur, Ooty","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U009,27,Female,15000,5,"Mountains, Beach",Couple,Moderate,D05,Gangtok,Sikkim,Hill Station,Summer,Medium,4.7,Not worth the money,"Munnar, Goa","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U010,26,Other,25000,3,"Adventure, Mountains",Family,Moderate,D02,Goa,Goa,Mountain,Summer,Low,3.6,Amazing experience!,"Jaipur, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U011,56,Female,30000,7,"Beach, Adventure",Solo,Moderate,D05,Gangtok,Sikkim,Hill Station,Summer,Medium,4.4,Loved every bit of it,"Manali, Munnar","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U012,45,Male,25000,3,"Mountains, Cultural",Family,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Low,3.2,Mediocre facilities,"Gangtok, Ooty","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U013,30,Male,20000,5,"Beach, Mountains",Solo,Moderate,D03,Munnar,Kerala,City,Monsoon,Medium,2.5,Loved every bit of it,"Munnar, Goa","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U014,21,Male,30000,3,"Adventure, Wildlife",Solo,Moderate,D02,Goa,Goa,Mountain,Summer,High,4.1,Best trip ever,"Goa, Munnar","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U015,51,Other,25000,5,"Beach, Relaxation",Couple,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,3.4,Best trip ever,"Jaipur, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U016,33,Male,10000,7,"Adventure, Beach",Family,Moderate,D02,Goa,Goa,Mountain,Summer,High,2.7,Mediocre facilities,"Manali, Goa","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U017,22,Male,20000,3,"Beach, Relaxation",Couple,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,High,3.8,Mediocre facilities,"Gangtok, Ooty","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U018,48,Male,25000,10,"Relaxation, Adventure",Solo,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,Medium,3.6,Not worth the money,"Ooty, Manali","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U019,59,Other,10000,3,"Wildlife, Cultural",Solo,Cold,D02,Goa,Goa,Mountain,Summer,High,3.8,Could be better,"Jaipur, Goa","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U020,35,Female,15000,3,"Wildlife, Beach",Solo,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,4.6,Amazing experience!,"Goa, Ooty","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U021,44,Female,25000,5,"Wildlife, Adventure",Family,Hot,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,3.2,Not worth the money,"Munnar, Jaipur","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U022,53,Other,25000,5,"Relaxation, Cultural",Family,Cold,D05,Gangtok,Sikkim,Hill Station,Summer,Low,3.9,Mediocre facilities,"Munnar, Manali","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U023,21,Other,25000,5,"Adventure, Beach",Solo,Cold,D01,Manali,Himachal Pradesh,Beach,Winter,Low,2.7,Could be better,"Jaipur, Manali","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U024,54,Male,30000,3,"Beach, Adventure",Friends,Moderate,D05,Gangtok,Sikkim,Hill Station,Summer,Low,3.8,Loved every bit of it,"Goa, Munnar","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U025,33,Female,25000,5,"Mountains, Cultural",Friends,Hot,D01,Manali,Himachal Pradesh,Beach,Winter,High,3.6,Best trip ever,"Manali, Ooty","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U026,52,Male,30000,7,"Relaxation, Cultural",Solo,Cold,D03,Munnar,Kerala,City,Monsoon,Medium,2.9,Best trip ever,"Ooty, Munnar","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U027,57,Other,30000,3,"Mountains, Beach",Couple,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,High,3.2,Amazing experience!,"Ooty, Gangtok","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U028,27,Female,20000,5,"Mountains, Cultural",Family,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,3.8,Loved every bit of it,"Manali, Ooty","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U029,58,Female,20000,3,"Adventure, Cultural",Family,Moderate,D03,Munnar,Kerala,City,Monsoon,High,4.4,Best trip ever,"Ooty, Jaipur","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U030,53,Male,10000,3,"Mountains, Relaxation",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,Low,2.9,Could be better,"Manali, Munnar","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U031,41,Male,20000,5,"Mountains, Relaxation",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,Medium,4.9,Mediocre facilities,"Goa, Ooty","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U032,28,Male,25000,3,"Relaxation, Cultural",Friends,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,High,3.2,Mediocre facilities,"Manali, Jaipur","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U033,20,Female,15000,5,"Wildlife, Cultural",Couple,Cold,D02,Goa,Goa,Mountain,Summer,High,4.2,Not worth the money,"Munnar, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U034,22,Female,20000,10,"Mountains, Beach",Couple,Cold,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,2.9,Loved every bit of it,"Manali, Ooty","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U035,56,Female,20000,7,"Wildlife, Beach",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,High,3.1,Mediocre facilities,"Jaipur, Manali","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U036,51,Other,15000,7,"Wildlife, Adventure",Couple,Moderate,D03,Munnar,Kerala,City,Monsoon,Low,4.6,Mediocre facilities,"Munnar, Gangtok","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U037,37,Other,25000,7,"Wildlife, Cultural",Family,Cold,D04,Jaipur,Rajasthan,Desert,Winter,Low,4.9,Mediocre facilities,"Ooty, Goa","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U038,57,Other,20000,10,"Beach, Adventure",Couple,Hot,D02,Goa,Goa,Mountain,Summer,Medium,4.5,Best trip ever,"Ooty, Munnar","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U039,47,Female,25000,5,"Beach, Wildlife",Family,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,3.8,Mediocre facilities,"Gangtok, Munnar","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U040,23,Male,20000,5,"Relaxation, Mountains",Solo,Cold,D02,Goa,Goa,Mountain,Summer,Medium,4.0,Amazing experience!,"Jaipur, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U041,58,Other,15000,10,"Wildlife, Mountains",Family,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,2.5,Amazing experience!,"Jaipur, Goa","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U042,29,Other,30000,10,"Adventure, Beach",Family,Cold,D04,Jaipur,Rajasthan,Desert,Winter,High,4.5,Mediocre facilities,"Gangtok, Ooty","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U043,56,Female,25000,10,"Beach, Wildlife",Family,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,Medium,3.1,Could be better,"Ooty, Munnar","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U044,51,Female,15000,7,"Wildlife, Adventure",Couple,Cold,D03,Munnar,Kerala,City,Monsoon,Medium,3.3,Best trip ever,"Manali, Goa","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U045,27,Male,25000,5,"Mountains, Relaxation",Solo,Hot,D04,Jaipur,Rajasthan,Desert,Winter,Medium,3.9,Not worth the money,"Manali, Goa","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U046,44,Female,30000,3,"Beach, Wildlife",Friends,Cold,D03,Munnar,Kerala,City,Monsoon,Medium,4.4,Not worth the money,"Gangtok, Ooty","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U047,56,Male,25000,5,"Cultural, Wildlife",Friends,Cold,D04,Jaipur,Rajasthan,Desert,Winter,Medium,4.2,Not worth the money,"Ooty, Goa","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U048,47,Male,30000,3,"Wildlife, Beach",Solo,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,2.8,Not worth the money,"Goa, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U049,34,Female,20000,5,"Wildlife, Cultural",Couple,Hot,D03,Munnar,Kerala,City,Monsoon,Medium,3.1,Amazing experience!,"Jaipur, Manali","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U050,52,Male,20000,5,"Mountains, Adventure",Solo,Cold,D02,Goa,Goa,Mountain,Summer,High,4.6,Best trip ever,"Goa, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U051,26,Female,10000,5,"Wildlife, Cultural",Couple,Cold,D05,Gangtok,Sikkim,Hill Station,Summer,Low,4.9,Mediocre facilities,"Manali, Goa","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U052,37,Male,30000,3,"Cultural, Beach",Friends,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,High,2.7,Mediocre facilities,"Ooty, Goa","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U053,24,Other,20000,3,"Beach, Adventure",Couple,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,Low,3.4,Best trip ever,"Ooty, Munnar","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U054,18,Female,25000,3,"Wildlife, Cultural",Friends,Moderate,D02,Goa,Goa,Mountain,Summer,Medium,2.9,Best trip ever,"Ooty, Munnar","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U055,57,Other,25000,10,"Wildlife, Beach",Couple,Hot,D02,Goa,Goa,Mountain,Summer,High,3.2,Not worth the money,"Goa, Jaipur","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U056,54,Other,25000,7,"Adventure, Wildlife",Couple,Cold,D04,Jaipur,Rajasthan,Desert,Winter,High,3.4,Loved every bit of it,"Munnar, Ooty","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U057,56,Other,20000,3,"Beach, Relaxation",Solo,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,3.7,Could be better,"Ooty, Jaipur","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U058,59,Other,25000,10,"Adventure, Mountains",Couple,Cold,D04,Jaipur,Rajasthan,Desert,Winter,Low,3.1,Mediocre facilities,"Gangtok, Munnar","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U059,48,Other,30000,7,"Wildlife, Beach",Couple,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,3.2,Loved every bit of it,"Goa, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U060,30,Female,10000,5,"Relaxation, Mountains",Friends,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,4.9,Best trip ever,"Gangtok, Munnar","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U061,24,Male,20000,5,"Cultural, Relaxation",Couple,Cold,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,2.8,Amazing experience!,"Manali, Gangtok","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U062,36,Other,15000,10,"Adventure, Mountains",Couple,Hot,D04,Jaipur,Rajasthan,Desert,Winter,Medium,3.4,Amazing experience!,"Munnar, Jaipur","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U063,25,Male,25000,10,"Adventure, Beach",Solo,Cold,D02,Goa,Goa,Mountain,Summer,Low,4.9,Amazing experience!,"Goa, Manali","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U064,53,Female,30000,5,"Beach, Wildlife",Friends,Hot,D03,Munnar,Kerala,City,Monsoon,Low,5.0,Loved every bit of it,"Gangtok, Ooty","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U065,21,Other,10000,5,"Mountains, Relaxation",Couple,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,High,3.1,Best trip ever,"Manali, Goa","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U066,18,Female,25000,10,"Cultural, Adventure",Family,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,4.3,Not worth the money,"Manali, Goa","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U067,34,Other,30000,5,"Wildlife, Adventure",Family,Moderate,D02,Goa,Goa,Mountain,Summer,Medium,4.6,Amazing experience!,"Manali, Goa","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U068,37,Other,30000,7,"Wildlife, Adventure",Friends,Moderate,D03,Munnar,Kerala,City,Monsoon,Low,3.5,Loved every bit of it,"Gangtok, Ooty","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U069,49,Female,10000,3,"Wildlife, Cultural",Couple,Cold,D01,Manali,Himachal Pradesh,Beach,Winter,High,4.9,Best trip ever,"Gangtok, Manali","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U070,35,Other,10000,5,"Wildlife, Beach",Friends,Hot,D02,Goa,Goa,Mountain,Summer,Low,3.6,Not worth the money,"Manali, Jaipur","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U071,40,Female,20000,7,"Mountains, Adventure",Family,Hot,D04,Jaipur,Rajasthan,Desert,Winter,Low,3.7,Mediocre facilities,"Jaipur, Gangtok","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U072,20,Female,10000,7,"Cultural, Mountains",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,High,4.1,Best trip ever,"Jaipur, Ooty","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U073,21,Male,30000,7,"Beach, Wildlife",Friends,Cold,D02,Goa,Goa,Mountain,Summer,Medium,3.9,Loved every bit of it,"Jaipur, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U074,25,Male,30000,5,"Mountains, Relaxation",Couple,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Low,3.5,Could be better,"Manali, Jaipur","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U075,25,Other,15000,10,"Mountains, Cultural",Couple,Hot,D04,Jaipur,Rajasthan,Desert,Winter,Medium,3.1,Best trip ever,"Goa, Jaipur","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U076,30,Other,30000,5,"Adventure, Cultural",Friends,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,Medium,4.6,Loved every bit of it,"Ooty, Munnar","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U077,55,Other,25000,5,"Wildlife, Beach",Friends,Hot,D03,Munnar,Kerala,City,Monsoon,Low,4.4,Not worth the money,"Jaipur, Munnar","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U078,30,Other,15000,10,"Relaxation, Wildlife",Solo,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,4.3,Not worth the money,"Jaipur, Goa","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U079,49,Male,15000,7,"Adventure, Wildlife",Solo,Moderate,D04,Jaipur,Rajasthan,Desert,Winter,High,4.3,Not worth the money,"Ooty, Goa","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U080,22,Female,20000,7,"Beach, Wildlife",Solo,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,3.5,Loved every bit of it,"Ooty, Jaipur","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U081,52,Male,30000,3,"Relaxation, Cultural",Family,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,4.9,Mediocre facilities,"Ooty, Manali","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U082,46,Male,20000,3,"Adventure, Cultural",Solo,Hot,D03,Munnar,Kerala,City,Monsoon,Medium,3.6,Could be better,"Gangtok, Jaipur","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U083,54,Other,15000,5,"Relaxation, Adventure",Friends,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,High,3.7,Best trip ever,"Goa, Ooty","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U084,47,Other,20000,10,"Cultural, Adventure",Friends,Hot,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,2.9,Not worth the money,"Munnar, Gangtok","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U085,37,Other,25000,7,"Wildlife, Cultural",Family,Hot,D04,Jaipur,Rajasthan,Desert,Winter,High,3.1,Best trip ever,"Munnar, Gangtok","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U086,36,Other,20000,3,"Mountains, Wildlife",Couple,Cold,D05,Gangtok,Sikkim,Hill Station,Summer,Low,4.4,Amazing experience!,"Gangtok, Jaipur","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U087,36,Male,30000,7,"Relaxation, Mountains",Couple,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,Low,4.2,Could be better,"Ooty, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U088,58,Other,10000,7,"Wildlife, Adventure",Couple,Moderate,D02,Goa,Goa,Mountain,Summer,High,4.8,Loved every bit of it,"Ooty, Jaipur","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U089,29,Male,15000,7,"Beach, Mountains",Couple,Cold,D03,Munnar,Kerala,City,Monsoon,Medium,4.9,Loved every bit of it,"Ooty, Munnar","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U090,25,Female,10000,5,"Relaxation, Wildlife",Couple,Cold,D04,Jaipur,Rajasthan,Desert,Winter,High,3.2,Amazing experience!,"Jaipur, Munnar","Day 1: Arrival in Jaipur, Day 2-3: Explore local spots, Day 4: Departure"
U091,34,Other,25000,7,"Adventure, Relaxation",Friends,Cold,D05,Gangtok,Sikkim,Hill Station,Summer,Low,3.3,Best trip ever,"Goa, Manali","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U092,58,Female,20000,10,"Adventure, Relaxation",Solo,Cold,D03,Munnar,Kerala,City,Monsoon,Medium,2.8,Could be better,"Gangtok, Goa","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U093,42,Female,20000,10,"Beach, Relaxation",Friends,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,4.0,Loved every bit of it,"Manali, Munnar","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U094,31,Female,25000,5,"Cultural, Adventure",Couple,Moderate,D06,Ooty,Tamil Nadu,Beach,Monsoon,Medium,2.7,Loved every bit of it,"Goa, Manali","Day 1: Arrival in Ooty, Day 2-3: Explore local spots, Day 4: Departure"
U095,47,Male,15000,3,"Adventure, Cultural",Family,Cold,D05,Gangtok,Sikkim,Hill Station,Summer,High,2.7,Best trip ever,"Goa, Gangtok","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U096,31,Male,20000,5,"Beach, Adventure",Couple,Cold,D02,Goa,Goa,Mountain,Summer,Low,3.1,Could be better,"Manali, Ooty","Day 1: Arrival in Goa, Day 2-3: Explore local spots, Day 4: Departure"
U097,26,Male,20000,5,"Beach, Cultural",Solo,Cold,D03,Munnar,Kerala,City,Monsoon,High,2.8,Not worth the money,"Gangtok, Manali","Day 1: Arrival in Munnar, Day 2-3: Explore local spots, Day 4: Departure"
U098,22,Female,25000,7,"Beach, Mountains",Solo,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,High,4.9,Amazing experience!,"Ooty, Gangtok","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
U099,37,Female,10000,3,"Wildlife, Mountains",Friends,Moderate,D01,Manali,Himachal Pradesh,Beach,Winter,Medium,4.3,Not worth the money,"Manali, Ooty","Day 1: Arrival in Manali, Day 2-3: Explore local spots, Day 4: Departure"
U100,38,Other,15000,3,"Relaxation, Cultural",Couple,Hot,D05,Gangtok,Sikkim,Hill Station,Summer,Low,3.2,Best trip ever,"Gangtok, Jaipur","Day 1: Arrival in Gangtok, Day 2-3: Explore local spots, Day 4: Departure"
